x y u_11 u_12 u_13 u_21 u_22 u_23 u_31 u_32 u_33
84 176 0.779415 -0.553932 0.292711 -0.242204 0.164483 0.956179 -0.577807 -0.81615 -0.005971
129 186 -0.664338 0.745798 0.049403 -0.137046 -0.056567 -0.988948 -0.734761 -0.663766 0.139788
169 66 -0.201274 0.883197 -0.423599 -0.974703 -0.137643 0.176142 0.097263 0.448331 0.888559
81 149 0.080978 0.988311 0.129168 -0.718083 -0.032029 0.695222 0.691231 -0.149052 0.707092
29 185 0.296974 0.919294 -0.258273 -0.761475 0.391195 0.51684 0.576162 0.043181 0.816193
128 83 -0.366518 0.543643 -0.755059 -0.08262 -0.827345 -0.555584 -0.926738 -0.141246 0.348152
42 112 -0.898886 0.309773 -0.309914 0.253155 -0.210162 -0.944321 -0.357657 -0.927294 0.110491
76 18 -0.158471 0.964716 0.210256 -0.981985 -0.131779 -0.135458 -0.10297 -0.227928 0.968215
139 186 0.902986 0.286527 -0.320191 -0.398585 0.280249 -0.873265 -0.160486 0.916163 0.367267
14 101 0.51144 0.838405 -0.188452 -0.086683 -0.167858 -0.98199 -0.854951 0.51854 -0.013164
86 59 0.36896 -0.915041 0.162942 -0.23557 0.077518 0.968758 -0.899112 -0.395817 -0.186954
157 94 0.433479 -0.507866 -0.74442 0.852558 -0.036517 0.521357 -0.291969 -0.86066 0.417159
207 103 0.901953 0.417882 -0.108877 -0.302005 0.790611 0.53266 0.308672 -0.447555 0.839296
36 84 -0.80163 0.23555 -0.549463 -0.355006 -0.927064 0.120501 -0.481009 0.291653 0.826782
76 12 -0.156733 0.964974 0.210371 -0.98194 -0.129388 -0.138064 -0.106 -0.228215 0.967821
116 157 -0.345899 0.934462 0.084471 -0.781379 -0.33673 0.525416 0.519428 0.115739 0.846638
172 40 -0.262598 0.77193 -0.578933 -0.940719 -0.071315 0.331609 0.214692 0.631694 0.744895
177 84 -0.032715 -0.645657 -0.762921 0.15726 -0.75715 0.634032 -0.987017 -0.099239 0.126306
147 119 0.993736 -0.019805 0.109987 0.093322 0.688539 -0.719167 -0.061488 0.724934 0.686072
204 62 -0.428142 0.096575 -0.898532 -0.16269 -0.986267 -0.02849 -0.888953 0.133983 0.437969
85 14 0.7529 0.306937 -0.582178 0.633083 -0.096018 0.768103 0.179858 -0.946879 -0.266604
